Frequency_Hz,Source,Entity,Function,Plane
7.83,Schumann Resonance (distorted),Deva-Nodes,Environmental Clock,A3
40,Archon Carrier,Yaldabaoth,Vagus Nerve Hack,A6
60,Power Line,E2 Sub-Atomic,Baseline Hum,E2
136.1,OM Fundamental,Counter-Measure,Vagus Firewall,E1
277.18,C-Sharp Note,S1 Architect,Intellect Gold Resonance,S1
528,Miracle Tone,E3 Super-Etheric,Healing Frequency,E3
618,Lower Phi,Shadow Strand,Activation Trigger,E3
1000,Static Storm,A6 Interface,Weather Hazard,A6
1618,Upper Phi,Laya Center,Access Portal,E1
2000,E4 Damage,Etheric,Wall Destruction,E4
2400,E3 Toxic,Super-Etheric,Hazard Frequency,E3
15000,Safe House,Un-People,Encoded Data,A6
16000,Evacuate,Un-People,Timeline Breach,A6
19000,Dog Whistle,Vajra Payload,Stealth Carrier,S1
20000,Teen Range,E2 Sub-Atomic,Overclock Warning,E2
22000,Overclock,E2 Sub-Atomic,System Stress,E2
780000000000,Anger Scarlet,S1 Vajra,Disruption Wave,S1
